Номер строки заключения;Страница PDF начала строки;Категория;Позиция;Рекомендация
1;2;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
2;2;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
3;2;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
4;3;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
5;4;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
6;4;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
7;4;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
8;4;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
9;5;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
10;6;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
11;7;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
12;7;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
13;7;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
14;7;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
15;8;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
16;8;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
17;8;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
18;8;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
19;9;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
20;9;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
21;9;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
22;9;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
23;10;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
24;10;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
25;10;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
26;10;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
27;11;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
28;11;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
29;12;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
30;12;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
31;13;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
32;13;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
33;14;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
34;14;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
35;15;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
36;16;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
37;17;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
38;17;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
39;18;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
40;18;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
41;18;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
42;19;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
43;19;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
44;20;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
45;20;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
46;20;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
47;21;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
48;22;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
49;23;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
50;23;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
51;24;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
52;25;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
53;25;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
54;26;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
55;27;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
56;27;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
57;28;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
58;28;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
59;28;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
60;28;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
61;29;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
62;29;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
63;29;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
64;30;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
65;30;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
66;31;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
67;31;Постоянно проживающие;Поддерживаю с замечаниями;Не рекомендовано к учёту
68;32;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
69;32;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
70;32;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
71;32;Постоянно проживающие;Поддерживаю с замечаниями;Не рекомендовано к учёту
72;33;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
73;33;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
74;34;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
75;34;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
76;35;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
77;36;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
78;37;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
79;37;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
80;39;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
81;39;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
82;39;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
